specification,k,method,replicate,held_out_cycle,ari
expanded8_recent_equal,9,bootstrap_refit,22,,0.38180948867535003
expanded8_recent_equal,9,bootstrap_refit,23,,0.46107734950219686
expanded8_recent_equal,9,bootstrap_refit,24,,0.49291518384679056
expanded8_recent_equal,9,bootstrap_refit,25,,0.5458420533383745
expanded8_recent_equal,9,bootstrap_refit,26,,0.4907116793507147
expanded8_recent_equal,9,bootstrap_refit,27,,0.49663039284564026
expanded8_recent_equal,9,bootstrap_refit,28,,0.45754435003962884
expanded8_recent_equal,9,bootstrap_refit,29,,0.5031747281466336
expanded8_recent_equal,9,bootstrap_refit,30,,0.6023175532722443
expanded8_recent_equal,9,leave_cycle_out,1,2015-2016,0.6155902737477801
expanded8_recent_equal,9,leave_cycle_out,2,2017-2018,0.6676970002849246
expanded8_recent_equal,9,leave_cycle_out,3,2021-2023,0.5930234162864483
expanded8_recent_equal,10,bootstrap_refit,1,,0.5882527493953139
expanded8_recent_equal,10,bootstrap_refit,2,,0.47144465391076756
expanded8_recent_equal,10,bootstrap_refit,3,,0.4791366514545403
expanded8_recent_equal,10,bootstrap_refit,4,,0.5167332087189633
expanded8_recent_equal,10,bootstrap_refit,5,,0.44640153648969166
expanded8_recent_equal,10,bootstrap_refit,6,,0.527726282728811
expanded8_recent_equal,10,bootstrap_refit,7,,0.4048649866367506
expanded8_recent_equal,10,bootstrap_refit,8,,0.535562299115752
expanded8_recent_equal,10,bootstrap_refit,9,,0.5569898933314681
expanded8_recent_equal,10,bootstrap_refit,10,,0.5133613289669683
expanded8_recent_equal,10,bootstrap_refit,11,,0.5289370648298872
expanded8_recent_equal,10,bootstrap_refit,12,,0.43531811605624776
expanded8_recent_equal,10,bootstrap_refit,13,,0.5301803699386217
expanded8_recent_equal,10,bootstrap_refit,14,,0.6087537257264531
expanded8_recent_equal,10,bootstrap_refit,15,,0.7022068286712918
expanded8_recent_equal,10,bootstrap_refit,16,,0.4890275282526741
expanded8_recent_equal,10,bootstrap_refit,17,,0.5297122935952102
expanded8_recent_equal,10,bootstrap_refit,18,,0.5627577986656166
expanded8_recent_equal,10,bootstrap_refit,19,,0.5602266405498559
expanded8_recent_equal,10,bootstrap_refit,20,,0.6130286865248374
expanded8_recent_equal,10,bootstrap_refit,21,,0.4320466638149327
expanded8_recent_equal,10,bootstrap_refit,22,,0.5338604344065834
expanded8_recent_equal,10,bootstrap_refit,23,,0.48182672992593234
expanded8_recent_equal,10,bootstrap_refit,24,,0.546348058860049
expanded8_recent_equal,10,bootstrap_refit,25,,0.49669623283660636
expanded8_recent_equal,10,bootstrap_refit,26,,0.5301673534927244
expanded8_recent_equal,10,bootstrap_refit,27,,0.42747187590850455
expanded8_recent_equal,10,bootstrap_refit,28,,0.39425538532121196
expanded8_recent_equal,10,bootstrap_refit,29,,0.3140433788198542
expanded8_recent_equal,10,bootstrap_refit,30,,0.46598429153174925
expanded8_recent_equal,10,leave_cycle_out,1,2015-2016,0.7633746186164342
expanded8_recent_equal,10,leave_cycle_out,2,2017-2018,0.674378600967674
expanded8_recent_equal,10,leave_cycle_out,3,2021-2023,0.419671460015011
expanded8_recent_equal,11,bootstrap_refit,1,,0.47207342749766323
expanded8_recent_equal,11,bootstrap_refit,2,,0.4966062871564119
expanded8_recent_equal,11,bootstrap_refit,3,,0.4560582538915175
expanded8_recent_equal,11,bootstrap_refit,4,,0.5724182969112591
expanded8_recent_equal,11,bootstrap_refit,5,,0.5246087935203834
expanded8_recent_equal,11,bootstrap_refit,6,,0.4316553651586346
expanded8_recent_equal,11,bootstrap_refit,7,,0.4287326951513675
expanded8_recent_equal,11,bootstrap_refit,8,,0.4548161213281537
expanded8_recent_equal,11,bootstrap_refit,9,,0.4314481175891095
expanded8_recent_equal,11,bootstrap_refit,10,,0.44271715493067526
expanded8_recent_equal,11,bootstrap_refit,11,,0.4947207531836579
expanded8_recent_equal,11,bootstrap_refit,12,,0.48852817955528505
expanded8_recent_equal,11,bootstrap_refit,13,,0.4893528529714448
expanded8_recent_equal,11,bootstrap_refit,14,,0.6291731349302475
expanded8_recent_equal,11,bootstrap_refit,15,,0.5785638222284348
expanded8_recent_equal,11,bootstrap_refit,16,,0.501612040410322
expanded8_recent_equal,11,bootstrap_refit,17,,0.6059074088535378
expanded8_recent_equal,11,bootstrap_refit,18,,0.48572193940508845
expanded8_recent_equal,11,bootstrap_refit,19,,0.39577119956042794
expanded8_recent_equal,11,bootstrap_refit,20,,0.5294495330637703
expanded8_recent_equal,11,bootstrap_refit,21,,0.593557118473056
expanded8_recent_equal,11,bootstrap_refit,22,,0.5185914547628849
expanded8_recent_equal,11,bootstrap_refit,23,,0.42403642788281076
expanded8_recent_equal,11,bootstrap_refit,24,,0.6459091509740407
expanded8_recent_equal,11,bootstrap_refit,25,,0.5166315911623438
expanded8_recent_equal,11,bootstrap_refit,26,,0.43721942871189273
expanded8_recent_equal,11,bootstrap_refit,27,,0.40508997889549697
expanded8_recent_equal,11,bootstrap_refit,28,,0.6157466154768738
expanded8_recent_equal,11,bootstrap_refit,29,,0.4926096944247576
expanded8_recent_equal,11,bootstrap_refit,30,,0.49247774882791995
expanded8_recent_equal,11,leave_cycle_out,1,2015-2016,0.597253608967382
expanded8_recent_equal,11,leave_cycle_out,2,2017-2018,0.6414977638080969
expanded8_recent_equal,11,leave_cycle_out,3,2021-2023,0.42425577147107296
expanded8_recent_equal,12,bootstrap_refit,1,,0.6161425875036696
expanded8_recent_equal,12,bootstrap_refit,2,,0.4168357349780354
expanded8_recent_equal,12,bootstrap_refit,3,,0.4538566703896542
expanded8_recent_equal,12,bootstrap_refit,4,,0.39934268273809465
expanded8_recent_equal,12,bootstrap_refit,5,,0.5246125390891367
expanded8_recent_equal,12,bootstrap_refit,6,,0.3473254575578549
expanded8_recent_equal,12,bootstrap_refit,7,,0.46711012536142876
