cohort,feature_set,fold,test_cycle,n_train,n_test,test_prevalence,inner_best_auc,best_C,threshold,threshold_strategy,roc_auc,pr_auc,brier,balanced_accuracy,sensitivity,specificity,ppv,npv,f1
all_cycles,expanded_minus_insulin,1,2009-2010,1154,222,0.527027027027027,0.7483522262717757,0.01,0.4699999999999998,youden,0.7035409035409035,0.7164772048492092,0.21818123338907783,0.6394383394383394,0.7264957264957265,0.5523809523809524,0.6439393939393939,0.6444444444444445,0.6827309236947792
all_cycles,expanded_minus_insulin,2,2011-2012,1186,190,0.5894736842105263,0.748774584842116,3.0,0.4699999999999998,youden,0.6988324175824175,0.7710817691400704,0.22617531134145374,0.6586538461538461,0.625,0.6923076923076923,0.7446808510638298,0.5625,0.6796116504854368
all_cycles,expanded_minus_insulin,3,2013-2014,1140,236,0.559322033898305,0.7376065481446795,0.01,0.5099999999999998,youden,0.7465763403263403,0.7856150748093327,0.20353227223727924,0.6622960372960374,0.6515151515151515,0.6730769230769231,0.7166666666666667,0.603448275862069,0.6825396825396826
all_cycles,expanded_minus_insulin,4,2015-2016,1147,229,0.537117903930131,0.7315481908690881,0.1,0.4999999999999998,youden,0.802270286853812,0.8114854599392975,0.18334939075116957,0.7562126092959043,0.8048780487804879,0.7075471698113207,0.7615384615384615,0.7575757575757576,0.782608695652174
all_cycles,expanded_minus_insulin,5,2017-2018,1142,234,0.5641025641025641,0.7409919198791264,0.1,0.4799999999999998,youden,0.7396019013666073,0.7599921143078192,0.20378369897600482,0.6773618538324421,0.7272727272727273,0.6274509803921569,0.7164179104477612,0.64,0.7218045112781953
all_cycles,expanded_minus_insulin,6,2021-2023,1111,265,0.44528301886792454,0.7411284978441764,0.1,0.5099999999999998,youden,0.7439179061455089,0.6798183190916431,0.20921639571581868,0.7240574195780007,0.7542372881355932,0.6938775510204082,0.664179104477612,0.7786259541984732,0.7063492063492064
all_cycles,expanded_minus_total_cholesterol,1,2009-2010,1154,222,0.527027027027027,0.7543165901308978,0.1,0.4899999999999998,youden,0.7013431013431013,0.7182757665529659,0.2210104445483018,0.6466422466422467,0.6837606837606838,0.6095238095238096,0.6611570247933884,0.6336633663366337,0.6722689075630253
all_cycles,expanded_minus_total_cholesterol,2,2011-2012,1186,190,0.5894736842105263,0.754109498446102,0.1,0.5299999999999998,youden,0.706959706959707,0.779170917478932,0.22537571199674908,0.6627747252747254,0.5178571428571429,0.8076923076923077,0.7945205479452054,0.5384615384615384,0.6270270270270271
all_cycles,expanded_minus_total_cholesterol,3,2013-2014,1140,236,0.559322033898305,0.7426259654737724,0.01,0.45999999999999985,youden,0.7535693473193472,0.7941055870946014,0.20036989342505443,0.6483100233100233,0.7196969696969697,0.5769230769230769,0.6834532374100719,0.6185567010309279,0.7011070110701108
all_cycles,expanded_minus_total_cholesterol,4,2015-2016,1147,229,0.537117903930131,0.7381175309775473,0.1,0.4999999999999998,youden,0.8009664058904741,0.8141130770331353,0.1829093873887445,0.7541033900905046,0.7723577235772358,0.7358490566037735,0.7723577235772358,0.7358490566037735,0.7723577235772358
all_cycles,expanded_minus_total_cholesterol,5,2017-2018,1142,234,0.5641025641025641,0.745358802789831,0.01,0.4799999999999998,youden,0.7528223410576352,0.76803227314501,0.20188898735153976,0.6936274509803921,0.75,0.6372549019607843,0.7279411764705882,0.6632653061224489,0.7388059701492536
all_cycles,expanded_minus_total_cholesterol,6,2021-2023,1111,265,0.44528301886792454,0.7478533175244776,0.1,0.4699999999999998,youden,0.7543525884930242,0.707849690526956,0.20547352806471422,0.7222702640378185,0.8050847457627118,0.6394557823129252,0.6418918918918919,0.8034188034188035,0.7142857142857143
all_cycles,expanded_minus_bmi,1,2009-2010,1154,222,0.527027027027027,0.7547173889825093,0.1,0.4799999999999998,youden,0.7017501017501018,0.7248368438048652,0.21991555660559522,0.64993894993895,0.7094017094017094,0.5904761904761905,0.6587301587301587,0.6458333333333334,0.6831275720164609
all_cycles,expanded_minus_bmi,2,2011-2012,1186,190,0.5894736842105263,0.7570748911360524,3.0,0.4999999999999998,gmean,0.6923076923076923,0.7680429940356062,0.23038009971256238,0.646062271062271,0.5357142857142857,0.7564102564102564,0.759493670886076,0.5315315315315315,0.6282722513089006
all_cycles,expanded_minus_bmi,3,2013-2014,1140,236,0.559322033898305,0.7437834578156459,0.1,0.4999999999999998,youden,0.7573572261072261,0.8016776787684908,0.1980099915808532,0.6756993006993006,0.6590909090909091,0.6923076923076923,0.7310924369747899,0.6153846153846154,0.6932270916334661
all_cycles,expanded_minus_bmi,4,2015-2016,1147,229,0.537117903930131,0.7380267958439458,0.1,0.4999999999999998,youden,0.80273048013499,0.8128517877371273,0.18172450717309468,0.7487344684767603,0.7804878048780488,0.7169811320754716,0.7619047619047619,0.7378640776699029,0.7710843373493976
