Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Threshold_Strategy,Original_Threshold_Strategy,Original_Threshold,Guardrail_Triggered,Guardrail_Reason,Guardrail_Spec_Floor,Best_Params,Precision,Recall,FPR,FNR,Balanced_Accuracy,Year_Group
3,2013-2014,LightGBM,0.7043259258514737,0.7049096736596736,0.6398305084745762,0.7045454545454546,0.5576923076923077,0.6690647482014388,0.5979381443298969,0.6863468634686347,0.4699999999999998,youden,youden,0.4699999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.6690647482014388,0.7045454545454546,0.4423,0.2955,0.6311,2013-2014
3,2013-2014,XGBoost,0.6989095975752165,0.7030157342657344,0.6440677966101694,0.7651515151515151,0.49038461538461536,0.6558441558441559,0.6219512195121951,0.7062937062937062,0.6199999999999998,youden,youden,0.6199999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6558441558441559,0.7651515151515151,0.5096,0.2348,0.6278,2013-2014
4,2015-2016,Logistic Regression,0.7268663949072572,0.7876208007363094,0.7292576419213974,0.7723577235772358,0.6792452830188679,0.7364341085271318,0.72,0.753968253968254,0.4799999999999998,youden,youden,0.4799999999999998,False,,0.4,"{""model__C"": 0.1}",0.7364341085271318,0.7723577235772358,0.3208,0.2276,0.7258,2015-2016
4,2015-2016,Random Forest,0.721990632671706,0.7389170118116276,0.6812227074235808,0.6829268292682927,0.6792452830188679,0.711864406779661,0.6486486486486487,0.6970954356846474,0.5299999999999998,youden,youden,0.5299999999999998,False,,0.4,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}",0.711864406779661,0.6829268292682927,0.3208,0.3171,0.6811,2015-2016
4,2015-2016,LightGBM,0.7101633607037487,0.7149102623101703,0.6724890829694323,0.7560975609756098,0.5754716981132075,0.6739130434782609,0.6703296703296703,0.7126436781609194,0.46,guardrail_shift_floor,screening,0.3599999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.6739130434782609,0.7560975609756098,0.4245,0.2439,0.6658,2015-2016
4,2015-2016,XGBoost,0.7005904023922659,0.7267985887406044,0.6681222707423581,0.7073170731707317,0.6226415094339622,0.6850393700787402,0.6470588235294118,0.6960000000000001,0.6699999999999997,youden,youden,0.6699999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6850393700787402,0.7073170731707317,0.3774,0.2927,0.665,2015-2016
5,2017-2018,Logistic Regression,0.733281834087898,0.7378936423054071,0.6923076923076923,0.7348484848484849,0.6372549019607843,0.7238805970149254,0.65,0.7293233082706766,0.4699999999999998,youden,youden,0.4699999999999998,False,,0.4,"{""model__C"": 0.01}",0.7238805970149254,0.7348484848484849,0.3627,0.2652,0.6861,2017-2018
5,2017-2018,Random Forest,0.7222101189768123,0.7248960190136661,0.6923076923076923,0.7272727272727273,0.6470588235294118,0.7272727272727273,0.6470588235294118,0.7272727272727273,0.4899999999999998,youden,youden,0.4899999999999998,False,,0.4,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}",0.7272727272727273,0.7272727272727273,0.3529,0.2727,0.6872,2017-2018
5,2017-2018,LightGBM,0.713671520324437,0.7368538324420677,0.6837606837606838,0.6590909090909091,0.7156862745098039,0.75,0.6186440677966102,0.7016129032258064,0.5299999999999998,youden,youden,0.5299999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.75,0.6590909090909091,0.2843,0.3409,0.6874,2017-2018
5,2017-2018,XGBoost,0.7086064618578963,0.7249702911467617,0.6837606837606838,0.7045454545454546,0.6568627450980392,0.7265625,0.6320754716981132,0.7153846153846154,0.6599999999999997,youden,youden,0.6599999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.7265625,0.7045454545454546,0.3431,0.2955,0.6807,2017-2018
6,2021-2023,Logistic Regression,0.7365225313422812,0.7305430646835005,0.630188679245283,0.8559322033898306,0.4489795918367347,0.554945054945055,0.7951807228915663,0.6733333333333333,0.40999999999999986,guardrail_nearest_feasible,screening,0.39999999999999986,True,specificity_collapse_nearest_feasible,0.45,"{""model__C"": 0.01}",0.554945054945055,0.8559322033898306,0.551,0.1441,0.6525,2021-2023
6,2021-2023,Random Forest,0.7117608453868263,0.7267381528882739,0.6754716981132075,0.8305084745762712,0.5510204081632653,0.5975609756097561,0.801980198019802,0.6950354609929077,0.46,guardrail_shift_floor,screening,0.3799999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}",0.5975609756097561,0.8305084745762712,0.449,0.1695,0.6908,2021-2023
6,2021-2023,LightGBM,0.6928277765392209,0.7255274991352474,0.6641509433962264,0.8220338983050848,0.5374149659863946,0.5878787878787879,0.79,0.6855123674911661,0.43999999999999984,youden,youden,0.43999999999999984,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.5878787878787879,0.8220338983050848,0.4626,0.178,0.6797,2021-2023
6,2021-2023,XGBoost,0.6966442930567708,0.7225873400207541,0.6754716981132075,0.7627118644067796,0.6054421768707483,0.6081081081081081,0.7606837606837606,0.6766917293233082,0.6799999999999997,youden,youden,0.6799999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6081081081081081,0.7627118644067796,0.3946,0.2373,0.6841,2021-2023
