Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Threshold_Strategy,Original_Threshold_Strategy,Original_Threshold,Guardrail_Triggered,Guardrail_Reason,Guardrail_Spec_Floor,Best_Params,Precision,Recall,FPR,FNR,Balanced_Accuracy,Year_Group
3,2013-2014,LightGBM,0.6921860872794193,0.7032342657342658,0.6567796610169492,0.7196969696969697,0.5769230769230769,0.6834532374100719,0.6185567010309279,0.7011070110701108,0.47999999999999976,youden,youden,0.47999999999999976,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}",0.6834532374100719,0.7196969696969697,0.4231,0.2803,0.6483,2013-2014
3,2013-2014,XGBoost,0.6909069541130387,0.7120483682983683,0.6610169491525424,0.7954545454545454,0.49038461538461536,0.6645569620253164,0.6538461538461539,0.7241379310344828,0.5999999999999998,youden,youden,0.5999999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6645569620253164,0.7954545454545454,0.5096,0.2045,0.6429,2013-2014
4,2015-2016,Logistic Regression,0.7212324688641649,0.776115968706857,0.7161572052401747,0.6991869918699187,0.7358490566037735,0.7543859649122807,0.6782608695652174,0.7257383966244726,0.4999999999999998,youden,youden,0.4999999999999998,False,,0.4,"{""model__C"": 0.1}",0.7543859649122807,0.6991869918699187,0.2642,0.3008,0.7175,2015-2016
4,2015-2016,Random Forest,0.7164494796675073,0.7462034054302806,0.7030567685589519,0.6910569105691057,0.7169811320754716,0.7391304347826086,0.6666666666666666,0.7142857142857142,0.5299999999999998,youden,youden,0.5299999999999998,False,,0.4,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}",0.7391304347826086,0.6910569105691057,0.283,0.3089,0.704,2015-2016
4,2015-2016,LightGBM,0.6986552456970542,0.7119190059825127,0.6637554585152838,0.7967479674796748,0.5094339622641509,0.6533333333333333,0.6835443037974683,0.717948717948718,0.3999999999999998,screening,screening,0.3999999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.6533333333333333,0.7967479674796748,0.4906,0.2033,0.6531,2015-2016
4,2015-2016,XGBoost,0.6991487220628958,0.7238840312931433,0.6855895196506551,0.6910569105691057,0.6792452830188679,0.7142857142857143,0.6545454545454545,0.7024793388429752,0.6899999999999997,youden,youden,0.6899999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.7142857142857143,0.6910569105691057,0.3208,0.3089,0.6852,2015-2016
5,2017-2018,Logistic Regression,0.7265140086772511,0.7296494355317884,0.6965811965811965,0.7272727272727273,0.6568627450980392,0.732824427480916,0.6504854368932039,0.7300380228136881,0.46999999999999986,youden,youden,0.46999999999999986,False,,0.4,"{""model__C"": 0.1}",0.732824427480916,0.7272727272727273,0.3431,0.2727,0.6921,2017-2018
5,2017-2018,Random Forest,0.7185131097115555,0.7163547237076648,0.6623931623931624,0.6893939393939394,0.6274509803921569,0.7054263565891473,0.6095238095238096,0.6973180076628354,0.5199999999999998,youden,youden,0.5199999999999998,False,,0.4,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}",0.7054263565891473,0.6893939393939394,0.3725,0.3106,0.6584,2017-2018
5,2017-2018,LightGBM,0.7101729837657175,0.7050653594771241,0.6495726495726496,0.7045454545454546,0.5784313725490197,0.6838235294117647,0.6020408163265306,0.6940298507462687,0.5199999999999998,youden,youden,0.5199999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.6838235294117647,0.7045454545454546,0.4216,0.2955,0.6415,2017-2018
5,2017-2018,XGBoost,0.7032753768656838,0.7085561497326204,0.6794871794871795,0.7575757575757576,0.5784313725490197,0.6993006993006993,0.6483516483516484,0.7272727272727273,0.6799999999999997,youden,youden,0.6799999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6993006993006993,0.7575757575757576,0.4216,0.2424,0.668,2017-2018
6,2021-2023,Logistic Regression,0.7313184505176191,0.7242015450247896,0.6566037735849056,0.8389830508474576,0.5102040816326531,0.5789473684210527,0.7978723404255319,0.6851211072664359,0.46,guardrail_shift_floor,screening,0.3699999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__C"": 0.1}",0.5789473684210527,0.8389830508474576,0.4898,0.161,0.6746,2021-2023
6,2021-2023,Random Forest,0.7082919810271998,0.7206272339444252,0.660377358490566,0.8305084745762712,0.5238095238095238,0.5833333333333334,0.7938144329896907,0.6853146853146853,0.46,guardrail_shift_floor,screening,0.3799999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 200}",0.5833333333333334,0.8305084745762712,0.4762,0.1695,0.6772,2021-2023
6,2021-2023,LightGBM,0.6860817685811859,0.7262193012798339,0.6188679245283019,0.8898305084745762,0.4013605442176871,0.5440414507772021,0.8194444444444444,0.6752411575562701,0.3899999999999999,youden,youden,0.3899999999999999,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.5440414507772021,0.8898305084745762,0.5986,0.1102,0.6456,2021-2023
6,2021-2023,XGBoost,0.6879082703877786,0.715755793842961,0.6377358490566037,0.8305084745762712,0.48299319727891155,0.5632183908045977,0.7802197802197802,0.6712328767123288,0.6599999999999997,youden,youden,0.6599999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.5632183908045977,0.8305084745762712,0.517,0.1695,0.6568,2021-2023
