specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference
core6_operational_positive_weighted,6,K06-C05,55,7.493188010899182,-0.06405930535233566,2.51254414668946,-0.22860382587665162,-0.8565380218522586,-0.23585534205028003,0.15829708207252866
core6_operational_positive_weighted,6,K06-C02,154,20.98092643051771,-0.5674972042734121,0.22870456750359264,1.1629921297892512,-0.3784476812301694,0.032366872103777734,-0.5095497448481673
core6_operational_positive_weighted,7,K07-C06,62,8.446866485013624,-0.1456293924089895,2.3726489182615937,-0.35537582201817813,-0.8258521430215314,-0.06504964336410354,0.09113516751383287
core6_operational_positive_weighted,7,K07-C03,133,18.11989100817439,-0.40940913321186456,-0.38269729542796127,-0.9512409318032495,-0.056903631764841256,0.379535723062993,-0.4348136514760725
core6_operational_positive_weighted,7,K07-C07,102,13.896457765667575,1.6535174749222872,-0.22264914050235163,-0.5144669982479667,-0.33613911762202253,-0.13843292735930252,1.5929432378668302
core6_operational_positive_weighted,7,K07-C01,76,10.354223433242508,-1.0539741643483986,-0.6640704299289018,-0.026674741080969382,1.7332086725432687,0.21149482750484527,-1.1703856753110118
core6_operational_positive_weighted,7,K07-C02,140,19.07356948228883,-0.6501600760292187,0.1520158345692673,1.2278434312812816,-0.24961194360206024,0.18561373666541867,-0.6391772491540767
core6_operational_positive_weighted,7,K07-C05,112,15.258855585831062,0.1109980209329809,-0.10622648777132018,0.035092394095596474,-0.3937608720316724,-1.2767842675735144,0.11879883773309455
core6_operational_positive_weighted,7,K07-C04,109,14.850136239782016,0.49095709536271054,-0.29734658572268985,0.24975073871852427,0.3704608857619501,0.6294981032711178,0.503011755753665
core6_operational_positive_weighted,8,K08-C01,68,9.264305177111716,-1.0868014243332147,-0.6981259813377207,0.015081794552003144,1.789174157743997,0.18082743251948996,-1.224641521703214
core6_operational_positive_weighted,8,K08-C04,106,14.441416893732969,0.49674364684234384,-0.3470467421456189,0.2914842759605868,0.40912098881404785,0.60650027765525,0.4865736499459672
core6_operational_positive_weighted,8,K08-C02,130,17.71117166212534,-0.6916439038220419,0.09089890290345029,1.26626528413853,-0.20626033109566075,0.21786126075228587,-0.6807925209816792
