specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference
core6_all_equal,13,K13-C08,108,7.848837209302325,0.3726389900899981,0.44823162217284973,0.9059904247275089,-0.6053850440467108,0.7187272149242281,0.5152495310396138
core6_all_equal,13,K13-C07,70,5.087209302325581,-0.27065332375066276,0.45281289033556077,1.8796988350172577,-0.48871354908520415,-0.7604190146635166,-0.19119533462962196
core6_all_equal,13,K13-C05,171,12.42732558139535,-0.2712845775654412,-0.2719512043099579,-0.7628889457574309,-0.26967392228590226,0.5828638348168038,-0.2440181553080551
core6_all_equal,13,K13-C01,74,5.377906976744186,-0.8823536549252657,-0.6904759756664244,-0.1789178884981688,2.5214193281453245,-0.10855297208513054,-0.9391333979841202
core6_all_equal,13,K13-C04,136,9.883720930232558,-0.6739697632581173,-0.4557812565791733,-0.18173601307958162,0.03319777961806964,-1.3997748012584033,-0.7381197100839377
core6_all_equal,13,K13-C12,15,1.0901162790697674,-0.19372308886429684,5.361093264998944,-0.053263327858459455,-0.953222344063672,-0.4531626668372943,0.16538801860070002
core6_all_equal,13,K13-C02,136,9.883720930232558,-1.0309484100342186,-0.5876867654160363,-0.43706791180790294,0.8434481458406823,0.47471058155379137,-1.110776255401627
core6_all_equal,13,K13-C11,108,7.848837209302325,0.9843139500803808,0.05911419040906567,-0.7006389739642666,-0.6210735820629397,0.74578123297182,1.0187567690332449
core6_all_equal,13,K13-C09,82,5.959302325581396,-0.00035059666260417655,1.9984384991237238,-0.39311556496673716,-0.9240482230209497,0.05419914966986197,0.23215758708568818
core6_all_equal,13,K13-C06,125,9.084302325581394,0.46935885231213,-0.4956954510682722,0.026390543714493276,0.8131098092286436,0.07926040833931419,0.4490575573173713
core6_all_equal,14,K14-C02,140,10.174418604651162,-1.0220847772526438,-0.5837796876074277,-0.46763743838776634,0.8780142515245184,0.45005504998016654,-1.1018131199326842
core6_all_equal,14,K14-C12,102,7.412790697674419,1.1017390939962486,-0.019264589673769525,0.031175025170179765,-0.6155364509983883,-1.438565488900171,1.080116946100931
core6_all_equal,14,K14-C10,79,5.741279069767442,0.10609913754243491,2.0549058081613714,-0.46365700658718845,-0.9450007557868129,0.03709723489602918,0.3426893127529282
